title,price,rating,oprice,brand
Trendies Analog Pink Dial Women's Watch-68015PP03/NP68015PP03  ,"1,550",4.2,"₹1,550",Fastrack
"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls  ",449,3.1,₹449,MARVIK
Brand - A Teymex Digital Watch Shockproof Multi-Functional Automatic Black Strap Waterproof Digital Sports Watch For Men's Kids Watch For Boys - Watch For Men Pack Of 1  ,285,4.0,₹285,Acnos
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control  ,"1,694",3.9,"₹1,694",Fastrack
Raga Viva Analog Rose Gold Dial Women's Watch-NN2603WL01/NP2603WL01  ,"4,384",4.3,"₹4,384",Titan
Men's Digital Sports Wrist Watch LED Screen Large Face Electronics Military Watches Waterproof Alarm Stopwatch Back Light Outdoor Casual Black Watch - 1818  ,975,3.8,₹975,SKMEI
Decker Chronograph Black Dial Men's Watch-CH2573P  ,"5,845",4.4,"₹5,845",Fossil
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 284 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt
Analog White Dial Men's Watch-QZ00J304Y  ,"1,099",4.2,"₹1,099",Q&Q
"Redmi Watch 2 Lite - Multi-System Standalone GPS, 3.94 cm Large HD Edge Display, Continuous SpO2, Stress & Sleep Monitoring, 24x7 HR, 5ATM, 120+ Watch Faces, 100+ Sports Modes, Women’s Health, Black  ","2,400",3.9,"₹2,400",Redmi
"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)  ","2,099",3.8,"₹2,099",boAt
Large Dial Chronograph Analogue Men’s Luxury Watch (Blue)  ,"2,690",New to Amazon,"₹2,690",OLEVS
"Fire-Boltt Eterno 1.99"" Largest Display, Bluetooth Calling Smartwatch with 1184mm Display Area, AI Voice Assistant, 120+ Sports Modes (Yoga) with Smart Split Screen to Toggle between functions, Gaming on the Wrist  ","2,499",4.2,"₹2,499",Fire-Boltt
Analog Champagne Dial Men's Watch-TW0TG6401  ,"1,317",4.2,"₹1,317",TIMEX
Classics Analog White Dial Men's Watch-A300  ,619,4.2,₹619,TIMEX
Analogue Boy's Watch (Blue Dial Blue Colored Strap)  ,119,3.2,₹119,RPS FASHION WITH DEVICE OF R
"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Heart Rate, Full Touch & Multiple Watch Faces with Customization (Black)  ","1,798",3.8,"₹1,798",Hammer
Analog Number Dial Stainless Steel Strap Watch for Women  ,339,3.9,₹339,TIMEWEAR
Analog Black Dial Men's Watch-MTP-V005D-1B5UDF  ,"1,945",4.2,"₹1,945",Casio
Space Analog Brown Dial Men's Watch-NN3184NM01/NP3184NM01  ,"2,595",4.3,"₹2,595",Fastrack
Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02  ,"1,695",4.2,"₹1,695",Fastrack
Digital Unisex Watch (Black Dial Black Colored Strap)  ,299,3.6,₹299,Unequetrend
Analog Silver Dial Women's Watch-BQ3162  ,"5,695",4.4,"₹5,695",Fossil
Neo Analog Grey Dial Men's Watch-1729SL04 / 1729SL04  ,"1,995",4.1,"₹1,995",Titan
Casual Analog Silver Dial Men's Watch-NL3120SM01/NP3120SM01  ,"1,850",4.2,"₹1,850",Fastrack
Analog Women's Watch (Multicolour Dial Colored Strap)  ,245,3.9,₹245,PAPIO
Karishma Analog Black Dial Men's Watch-NM9151SM02 / NL9151SM02  ,"1,895",4.1,"₹1,895",Titan
Analog Grey Dial Men's Watch-MK8576  ,"7,247.",4.8,"₹7,247.50",Michael Kors
Karishma Analog Silver Dial Men's Watch-NL1774BM01/NP1774BM01  ,"3,230",4.3,"₹3,230",Titan
Enticer Analog Blue Dial Men's Watch-MTP-VD01D-2EVUDF (A1364)  ,"2,198",4.4,"₹2,198",Casio
Ruffles Analog Grey Dial Women's Watch-6207SL01  ,"2,495",4.0,"₹2,495",Fastrack
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 284 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt
Analog Number Dial Stainless Steel Strap Watch for Women  ,339,3.9,₹339,TIMEWEAR
"Zebronics DRIP Smart Watch with Bluetooth Calling, 4.3cm (1.69""), 10 built-in & 100+ Watch Faces, 100+ Sport Modes, 4 built-in Games, Voice Assistant, 8 Menu UI, Fitness Health & Sleep Tracker (Black)  ","1,799",3.8,"₹1,799",ZEBRONICS
Monochrome Analog Blue Dial Women's Watch-NM6078SM03/NP6078SM03  ,"2,750",4.5,"₹2,750",Fastrack
Zaid Box House PU Leather 12 Slots Wrist Watch Display Box Storage  ,769,5.0,₹769,Generic
